max_temperature_f,mean_temperature_f,min_temperature_f,max_dew_point_f,mean_dew_point_f,min_dew_point_f,max_humidity,mean_humidity,min_humidity,max_sea_level_pressure_inches,mean_sea_level_pressure_inches,min_sea_level_pressure_inches,max_visibility_miles,mean_visibility_miles,min_visibility_miles,max_wind_Speed_mph,mean_wind_speed_mph,max_gust_speed_mph,precipitation_inches,cloud_cover,wind_dir_degrees,zip_code,holiday,business_day,month,weekday,fog,rain,fog-rain
59.0,48.0,36.0,42.0,36.0,32.0,85.0,63.0,40.0,30.23,30.19,30.14,10.0,8.0,6.0,8.0,1.0,12.0,0.0,0.0,348.0,94301.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
64.0,53.0,41.0,49.0,44.0,37.0,89.0,71.0,52.0,30.33,30.26,30.2,10.0,10.0,8.0,10.0,2.0,12.0,0.0,2.0,350.0,94301.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
57.0,52.0,48.0,52.0,51.0,48.0,100.0,94.0,82.0,30.16,30.11,30.09,10.0,5.0,0.0,12.0,3.0,22.297756874095512,0.0,5.0,6.0,94301.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
60.0,51.0,42.0,45.0,41.0,36.0,93.0,68.0,42.0,30.4,30.34,30.28,10.0,10.0,9.0,13.0,3.0,17.0,0.0,2.0,293.0,94301.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
62.0,55.0,48.0,54.0,50.0,48.0,100.0,86.0,63.0,30.28,30.22,30.19,10.0,9.0,7.0,8.0,3.0,22.297756874095512,0.0,1.0,357.0,94301.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
68.0,57.0,45.0,36.0,34.0,31.0,65.0,46.0,26.0,30.48,30.41,30.37,10.0,10.0,10.0,8.0,3.0,14.0,0.0,0.0,320.0,94301.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
64.0,53.0,42.0,48.0,44.0,43.0,100.0,67.0,45.0,30.22,30.16,30.12,10.0,10.0,10.0,9.0,4.0,22.297756874095512,0.0,0.0,343.0,94301.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
74.0,59.0,44.0,35.0,28.0,19.0,65.0,40.0,14.0,30.47,30.39,30.33,10.0,10.0,10.0,16.0,5.0,24.0,0.0,0.0,322.0,94301.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
62.0,48.0,35.0,50.0,44.0,36.0,100.0,76.0,48.0,30.26,30.22,30.18,10.0,9.0,7.0,77.0,7.0,22.297756874095512,0.0,2.0,13.0,94301.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
72.0,58.0,43.0,35.0,33.0,31.0,65.0,44.0,22.0,30.36,30.28,30.21,10.0,10.0,8.0,8.0,1.0,9.0,0.0,0.0,320.0,94301.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
62.0,50.0,39.0,50.0,47.0,39.0,100.0,82.0,55.0,30.34,30.28,30.23,10.0,4.0,3.0,9.0,2.0,22.297756874095512,0.0,6.0,339.0,94301.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
73.0,57.0,41.0,37.0,32.0,28.0,62.0,42.0,22.0,30.25,30.19,30.13,10.0,10.0,10.0,10.0,1.0,12.0,0.0,0.0,332.0,94301.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
62.0,53.0,44.0,52.0,49.0,45.0,100.0,83.0,63.0,30.29,30.25,30.21,6.0,5.0,3.0,9.0,2.0,22.297756874095512,0.0,7.0,330.0,94301.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
68.0,55.0,41.0,42.0,35.0,31.0,65.0,50.0,34.0,30.21,30.16,30.12,10.0,9.0,7.0,8.0,1.0,13.0,0.0,0.0,360.0,94301.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
71.0,55.0,39.0,38.0,33.0,29.0,70.0,46.0,22.0,30.19,30.13,30.07,10.0,10.0,8.0,10.0,1.0,23.0,0.0,0.0,327.0,94301.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
67.0,53.0,38.0,38.0,34.0,29.0,70.0,48.0,26.0,30.15,30.11,30.07,10.0,10.0,7.0,9.0,1.0,10.0,0.0,0.0,340.0,94301.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
62.0,56.0,48.0,55.0,53.0,48.0,100.0,91.0,72.0,30.3,30.24,30.2,15.0,9.0,1.0,7.0,4.0,22.297756874095512,0.0,5.0,350.0,94301.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
66.0,53.0,39.0,40.0,36.0,34.0,79.0,57.0,34.0,30.19,30.13,30.07,10.0,10.0,8.0,7.0,1.0,9.0,0.0,0.0,352.0,94301.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
50.0,41.0,32.0,37.0,34.0,28.0,93.0,74.0,58.0,30.23,30.19,30.12,10.0,10.0,10.0,7.0,2.0,22.297756874095512,0.0,0.0,346.0,94301.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
71.0,55.0,39.0,38.0,33.0,29.0,76.0,48.0,20.0,30.25,30.18,30.14,10.0,10.0,8.0,8.0,1.0,9.0,0.0,0.0,352.0,94301.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
59.0,54.0,46.0,52.0,50.0,45.0,100.0,88.0,72.0,30.18,30.11,30.06,10.0,7.0,3.0,9.0,4.0,22.297756874095512,0.0,2.0,342.0,94301.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
68.0,54.0,40.0,41.0,34.0,30.0,67.0,52.0,36.0,30.29,30.23,30.18,10.0,10.0,10.0,8.0,1.0,9.0,0.0,0.0,357.0,94301.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
64.0,52.0,39.0,48.0,45.0,39.0,100.0,70.0,48.0,30.16,30.13,30.11,10.0,10.0,10.0,9.0,3.0,22.297756874095512,0.0,0.0,335.0,94301.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
74.0,57.0,40.0,47.0,34.0,19.0,86.0,50.0,13.0,30.17,30.06,29.95,10.0,10.0,9.0,12.0,1.0,13.0,0.0,0.0,346.0,94301.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
57.0,52.0,46.0,48.0,46.0,43.0,93.0,78.0,63.0,30.32,30.28,30.23,10.0,9.0,7.0,20.0,10.0,22.297756874095512,0.0,4.0,34.0,94301.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
68.0,55.0,41.0,41.0,34.0,29.0,83.0,54.0,24.0,30.03,29.94,29.88,10.0,9.0,6.0,9.0,2.0,13.0,0.0,0.0,336.0,94301.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
68.0,54.0,39.0,50.0,45.0,37.0,93.0,68.0,43.0,30.37,30.31,30.25,10.0,10.0,10.0,9.0,5.0,22.297756874095512,0.0,0.0,348.0,94301.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
66.0,54.0,42.0,42.0,38.0,34.0,76.0,56.0,36.0,30.29,30.18,30.04,10.0,7.0,2.0,6.0,1.0,16.0,0.0,0.0,350.0,94301.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
69.0,56.0,44.0,52.0,45.0,43.0,93.0,58.0,38.0,30.23,30.17,30.11,10.0,10.0,10.0,9.0,5.0,22.297756874095512,0.0,0.0,355.0,94301.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
72.0,59.0,45.0,42.0,37.0,31.0,76.0,50.0,23.0,30.29,30.21,30.14,10.0,10.0,7.0,9.0,1.0,12.0,0.0,0.0,343.0,94301.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
66.0,54.0,41.0,52.0,46.0,39.0,93.0,75.0,48.0,30.15,30.08,30.01,10.0,10.0,10.0,9.0,5.0,22.297756874095512,0.0,0.0,43.0,94301.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
