id,name,lat,long,dock_count,city,installation_date
2,San Jose Diridon Caltrain Station,37.329732,-121.901782,27,San Jose,2013-08-06
3,San Jose Civic Center,37.330698,-121.888979,15,San Jose,2013-08-05
4,Santa Clara at Almaden,37.333988,-121.894902,11,San Jose,2013-08-06
5,Adobe on Almaden,37.331415,-121.8932,19,San Jose,2013-08-05
6,San Pedro Square,37.336721,-121.894074,15,San Jose,2013-08-07
7,Paseo de San Antonio,37.333798,-121.886943,15,San Jose,2013-08-07
8,San Salvador at 1st,37.330165,-121.885831,15,San Jose,2013-08-05
9,Japantown,37.348742,-121.894715,15,San Jose,2013-08-05
10,San Jose City Hall,37.337391,-121.886995,15,San Jose,2013-08-06
11,MLK Library,37.335885,-121.88566000000002,19,San Jose,2013-08-06
12,SJSU 4th at San Carlos,37.332808,-121.883891,19,San Jose,2013-08-07
13,St James Park,37.339301,-121.88993700000002,15,San Jose,2013-08-06
14,Arena Green / SAP Center,37.332692,-121.900084,19,San Jose,2013-08-05
16,SJSU - San Salvador at 9th,37.333955,-121.877349,15,San Jose,2013-08-07
80,Santa Clara County Civic Center,37.352601,-121.905733,15,San Jose,2013-12-31
84,Ryland Park,37.342725,-121.895617,15,San Jose,2014-04-09
